2023-03-10 13:58:07,286 INFO    StreamThr :37188 [internal.py:wandb_internal():87] W&B internal server running at pid: 37188, started at: 2023-03-10 13:58:07.284603
2023-03-10 13:58:08,519 DEBUG   HandlerThread:37188 [system_monitor.py:probe():213] {'os': 'Linux-5.15.0-60-generic-x86_64-with-glibc2.31', 'python': '3.9.13', 'heartbeatAt': '2023-03-10T05:58:08.510945', 'startedAt': '2023-03-10T05:57:55.508308', 'docker': None, 'cuda': None, 'args': None, 'state': 'running', 'program': '<python with no main file>', 'git': {'remote': 'https://github.com/gechengze/nlp-notebook.git', 'commit': '78112b7f1aa5793a6b76ed69e5f423a61e36c5ab'}, 'email': None, 'root': '/home/gechengze/project/nlp-notebook', 'host': 'ubuntu-3080', 'username': 'gechengze', 'executable': '/home/gechengze/anaconda3/bin/python', 'cpu_count': 6, 'cpu_count_logical': 12, 'cpu_freq': {'current': 4.06275, 'min': 800.0, 'max': 4800.0}, 'cpu_freq_per_core': [{'current': 4.1, 'min': 800.0, 'max': 4800.0}, {'current': 4.1, 'min': 800.0, 'max': 4800.0}, {'current': 4.1, 'min': 800.0, 'max': 4800.0}, {'current': 4.1, 'min': 800.0, 'max': 4800.0}, {'current': 4.1, 'min': 800.0, 'max': 4800.0}, {'current': 4.1, 'min': 800.0, 'max': 4800.0}, {'current': 4.1, 'min': 800.0, 'max': 4800.0}, {'current': 4.1, 'min': 800.0, 'max': 4800.0}, {'current': 3.653, 'min': 800.0, 'max': 4800.0}, {'current': 4.1, 'min': 800.0, 'max': 4800.0}, {'current': 4.1, 'min': 800.0, 'max': 4800.0}, {'current': 4.1, 'min': 800.0, 'max': 4800.0}], 'disk': {'total': 1043.379623413086, 'used': 32.46155548095703}, 'gpu': 'NVIDIA GeForce RTX 3080', 'gpu_count': 1, 'gpu_devices': [{'name': 'NVIDIA GeForce RTX 3080', 'memory_total': 10481106944}], 'memory': {'total': 15.54610824584961}}
2023-03-10 13:58:08,520 INFO    HandlerThread:37188 [system_monitor.py:probe():214] Finished collecting system info
2023-03-10 13:58:08,520 INFO    HandlerThread:37188 [system_monitor.py:probe():217] Publishing system info
2023-03-10 13:58:08,520 DEBUG   HandlerThread:37188 [system_info.py:_save_pip():51] Saving list of pip packages installed into the current environment
2023-03-10 13:58:08,520 DEBUG   HandlerThread:37188 [system_info.py:_save_pip():67] Saving pip packages done
2023-03-10 13:58:08,520 DEBUG   HandlerThread:37188 [system_info.py:_save_conda():74] Saving list of conda packages installed into the current environment
2023-03-10 13:58:09,132 INFO    Thread-25 :37188 [dir_watcher.py:_on_file_created():278] file/dir created: /home/gechengze/project/nlp-notebook/models/wandb/run-20230310_135755-lvbsk0ag/files/wandb-summary.json
2023-03-10 13:58:09,132 INFO    Thread-25 :37188 [dir_watcher.py:_on_file_created():278] file/dir created: /home/gechengze/project/nlp-notebook/models/wandb/run-20230310_135755-lvbsk0ag/files/conda-environment.yaml
2023-03-10 13:58:09,132 INFO    Thread-25 :37188 [dir_watcher.py:_on_file_created():278] file/dir created: /home/gechengze/project/nlp-notebook/models/wandb/run-20230310_135755-lvbsk0ag/files/requirements.txt
2023-03-10 13:58:12,892 DEBUG   HandlerThread:37188 [system_info.py:_save_conda():86] Saving conda packages done
2023-03-10 13:58:12,892 INFO    HandlerThread:37188 [system_monitor.py:probe():219] Finished publishing system info
2023-03-10 13:58:12,892 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: status_report
2023-03-10 13:58:12,893 DEBUG   SenderThread:37188 [sender.py:send():336] send: files
2023-03-10 13:58:12,893 INFO    SenderThread:37188 [sender.py:_save_file():1332] saving file wandb-metadata.json with policy now
2023-03-10 13:58:12,900 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: stop_status
2023-03-10 13:58:12,900 DEBUG   SenderThread:37188 [sender.py:send_request():363] send_request: stop_status
2023-03-10 13:58:13,132 INFO    Thread-25 :37188 [dir_watcher.py:_on_file_modified():295] file/dir modified: /home/gechengze/project/nlp-notebook/models/wandb/run-20230310_135755-lvbsk0ag/files/conda-environment.yaml
2023-03-10 13:58:13,133 INFO    Thread-25 :37188 [dir_watcher.py:_on_file_created():278] file/dir created: /home/gechengze/project/nlp-notebook/models/wandb/run-20230310_135755-lvbsk0ag/files/wandb-metadata.json
2023-03-10 13:58:14,167 DEBUG   SenderThread:37188 [sender.py:send():336] send: telemetry
2023-03-10 13:58:15,133 INFO    Thread-25 :37188 [dir_watcher.py:_on_file_created():278] file/dir created: /home/gechengze/project/nlp-notebook/models/wandb/run-20230310_135755-lvbsk0ag/files/output.log
2023-03-10 13:58:15,406 ERROR   wandb-upload_0:37188 [internal_api.py:upload_file():1997] upload_file exception https://storage.googleapis.com/wandb-production.appspot.com/gechengze/seq2seq/lvbsk0ag/wandb-metadata.json?Expires=1678514293&GoogleAccessId=wandb-production%40appspot.gserviceaccount.com&Signature=YqzWzkl2pJvAeT7XrDXHl6%2FDytuQM%2FiiEkcc45RGZPRfjB%2FsoEKRWwd8rwC0g%2B0Kc0tM65vfksS0HQL2LSLfLhIafkufdXnt9dCD39IAhe3Ls8Io5OV7qOOkcozZ4c6ewDTfpGYvP6LlElPHSUkvJb1cuPi3gMdmHF1KpqwK3B1Ia8g7c7DtuRKdZGGOso9WzyPow09oet0w2WMhoECPIyN%2BYhgNbZ9Uu3IgTVmNkOmL3X5pm%2FW0XgaSinFym8%2Fm%2FXvahYbW5VhiGtNaDdyC2mOMrHvUxddDyG%2BpQwl%2FKq5BCdTErnKWo00FnOvsfCbLyu94p9YlmjlMVP81IYp7Xg%3D%3D: HTTPSConnectionPool(host='storage.googleapis.com', port=443): Max retries exceeded with url: /wandb-production.appspot.com/gechengze/seq2seq/lvbsk0ag/wandb-metadata.json?Expires=1678514293&GoogleAccessId=wandb-production%40appspot.gserviceaccount.com&Signature=YqzWzkl2pJvAeT7XrDXHl6%2FDytuQM%2FiiEkcc45RGZPRfjB%2FsoEKRWwd8rwC0g%2B0Kc0tM65vfksS0HQL2LSLfLhIafkufdXnt9dCD39IAhe3Ls8Io5OV7qOOkcozZ4c6ewDTfpGYvP6LlElPHSUkvJb1cuPi3gMdmHF1KpqwK3B1Ia8g7c7DtuRKdZGGOso9WzyPow09oet0w2WMhoECPIyN%2BYhgNbZ9Uu3IgTVmNkOmL3X5pm%2FW0XgaSinFym8%2Fm%2FXvahYbW5VhiGtNaDdyC2mOMrHvUxddDyG%2BpQwl%2FKq5BCdTErnKWo00FnOvsfCbLyu94p9YlmjlMVP81IYp7Xg%3D%3D (Caused by SSLError(SSLEOFError(8, 'EOF occurred in violation of protocol (_ssl.c:1129)')))
2023-03-10 13:58:15,407 ERROR   wandb-upload_0:37188 [internal_api.py:upload_file():1999] upload_file request headers: {'User-Agent': 'python-requests/2.28.1', 'Accept-Encoding': 'gzip, deflate, br', 'Accept': '*/*', 'Connection': 'keep-alive', 'Content-Length': '2375'}
2023-03-10 13:58:15,407 ERROR   wandb-upload_0:37188 [internal_api.py:upload_file():2001] upload_file response body: 
2023-03-10 13:58:17,134 INFO    Thread-25 :37188 [dir_watcher.py:_on_file_modified():295] file/dir modified: /home/gechengze/project/nlp-notebook/models/wandb/run-20230310_135755-lvbsk0ag/files/output.log
2023-03-10 13:58:17,189 INFO    wandb-upload_0:37188 [upload_job.py:push():138] Uploaded file /tmp/tmp38_w3g_hwandb/45yy2ykg-wandb-metadata.json
2023-03-10 13:58:18,169 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: status_report
2023-03-10 13:58:23,170 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: status_report
2023-03-10 13:58:27,900 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: keepalive
2023-03-10 13:58:27,901 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: keepalive
2023-03-10 13:58:28,171 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: status_report
2023-03-10 13:58:32,901 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: keepalive
2023-03-10 13:58:33,172 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: status_report
2023-03-10 13:58:37,903 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: keepalive
2023-03-10 13:58:38,178 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: status_report
2023-03-10 13:58:39,145 INFO    Thread-25 :37188 [dir_watcher.py:_on_file_modified():295] file/dir modified: /home/gechengze/project/nlp-notebook/models/wandb/run-20230310_135755-lvbsk0ag/files/config.yaml
2023-03-10 13:58:42,904 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: keepalive
2023-03-10 13:58:43,579 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: status_report
2023-03-10 13:58:47,905 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: keepalive
2023-03-10 13:58:48,580 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: status_report
2023-03-10 13:58:52,906 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: keepalive
2023-03-10 13:58:53,581 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: status_report
2023-03-10 13:58:57,907 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: keepalive
2023-03-10 13:58:58,582 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: status_report
2023-03-10 13:59:02,908 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: keepalive
2023-03-10 13:59:03,583 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: status_report
2023-03-10 13:59:07,909 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: keepalive
2023-03-10 13:59:08,492 DEBUG   SystemMonitor:37188 [system_monitor.py:_start():161] Starting system metrics aggregation loop
2023-03-10 13:59:08,494 DEBUG   SenderThread:37188 [sender.py:send():336] send: stats
2023-03-10 13:59:09,495 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: status_report
2023-03-10 13:59:12,910 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: keepalive
2023-03-10 13:59:14,496 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: status_report
2023-03-10 13:59:17,912 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: keepalive
2023-03-10 13:59:19,497 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: status_report
2023-03-10 13:59:22,913 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: keepalive
2023-03-10 13:59:24,498 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: status_report
2023-03-10 13:59:27,914 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: keepalive
2023-03-10 13:59:29,500 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: status_report
2023-03-10 13:59:32,915 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: keepalive
2023-03-10 13:59:34,501 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: status_report
2023-03-10 13:59:37,916 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: keepalive
2023-03-10 13:59:38,495 DEBUG   SenderThread:37188 [sender.py:send():336] send: stats
2023-03-10 13:59:40,497 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: status_report
2023-03-10 13:59:42,917 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: keepalive
2023-03-10 13:59:45,498 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: status_report
2023-03-10 13:59:47,918 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: keepalive
2023-03-10 13:59:50,499 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: status_report
2023-03-10 13:59:52,919 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: keepalive
2023-03-10 13:59:55,500 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: status_report
2023-03-10 13:59:57,920 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: keepalive
2023-03-10 14:00:00,501 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: status_report
2023-03-10 14:00:02,922 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: keepalive
2023-03-10 14:00:05,502 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: status_report
2023-03-10 14:00:07,923 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: keepalive
2023-03-10 14:00:08,497 DEBUG   SenderThread:37188 [sender.py:send():336] send: stats
2023-03-10 14:00:11,499 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: status_report
2023-03-10 14:00:12,924 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: keepalive
2023-03-10 14:00:16,500 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: status_report
2023-03-10 14:00:17,925 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: keepalive
2023-03-10 14:00:21,501 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: status_report
2023-03-10 14:00:22,926 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: keepalive
2023-03-10 14:00:26,502 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: status_report
2023-03-10 14:00:27,927 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: keepalive
2023-03-10 14:00:31,503 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: status_report
2023-03-10 14:00:32,928 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: keepalive
2023-03-10 14:00:36,504 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: status_report
2023-03-10 14:00:37,929 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: keepalive
2023-03-10 14:00:38,498 DEBUG   SenderThread:37188 [sender.py:send():336] send: stats
2023-03-10 14:00:42,500 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: status_report
2023-03-10 14:00:42,930 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: keepalive
2023-03-10 14:00:47,501 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: status_report
2023-03-10 14:00:47,931 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: keepalive
2023-03-10 14:00:52,502 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: status_report
2023-03-10 14:00:52,933 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: keepalive
2023-03-10 14:00:57,503 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: status_report
2023-03-10 14:00:57,934 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: keepalive
2023-03-10 14:01:02,504 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: status_report
2023-03-10 14:01:02,935 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: keepalive
2023-03-10 14:01:07,505 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: status_report
2023-03-10 14:01:07,936 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: keepalive
2023-03-10 14:01:08,500 DEBUG   SenderThread:37188 [sender.py:send():336] send: stats
2023-03-10 14:01:12,937 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: keepalive
2023-03-10 14:01:13,502 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: status_report
2023-03-10 14:01:17,938 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: keepalive
2023-03-10 14:01:18,503 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: status_report
2023-03-10 14:01:22,939 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: keepalive
2023-03-10 14:01:23,504 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: status_report
2023-03-10 14:01:27,940 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: keepalive
2023-03-10 14:01:28,505 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: status_report
2023-03-10 14:01:32,941 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: keepalive
2023-03-10 14:01:33,506 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: status_report
2023-03-10 14:01:37,943 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: keepalive
2023-03-10 14:01:38,501 DEBUG   SenderThread:37188 [sender.py:send():336] send: stats
2023-03-10 14:01:39,503 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: status_report
2023-03-10 14:01:42,944 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: keepalive
2023-03-10 14:01:44,504 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: status_report
2023-03-10 14:01:47,945 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: keepalive
2023-03-10 14:01:49,505 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: status_report
2023-03-10 14:01:52,946 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: keepalive
2023-03-10 14:01:54,506 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: status_report
2023-03-10 14:01:57,947 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: keepalive
2023-03-10 14:01:59,507 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: status_report
2023-03-10 14:02:02,948 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: keepalive
2023-03-10 14:02:04,508 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: status_report
2023-03-10 14:02:07,949 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: keepalive
2023-03-10 14:02:08,503 DEBUG   SenderThread:37188 [sender.py:send():336] send: stats
2023-03-10 14:02:10,504 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: status_report
2023-03-10 14:02:12,950 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: keepalive
2023-03-10 14:02:15,505 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: status_report
2023-03-10 14:02:17,951 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: keepalive
2023-03-10 14:02:20,506 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: status_report
2023-03-10 14:02:22,952 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: keepalive
2023-03-10 14:02:25,507 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: status_report
2023-03-10 14:02:27,954 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: keepalive
2023-03-10 14:02:30,508 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: status_report
2023-03-10 14:02:32,955 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: keepalive
2023-03-10 14:02:35,509 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: status_report
2023-03-10 14:02:37,956 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: keepalive
2023-03-10 14:02:38,504 DEBUG   SenderThread:37188 [sender.py:send():336] send: stats
2023-03-10 14:02:41,506 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: status_report
2023-03-10 14:02:42,957 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: keepalive
2023-03-10 14:02:46,507 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: status_report
2023-03-10 14:02:47,958 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: keepalive
2023-03-10 14:02:51,508 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: status_report
2023-03-10 14:02:52,959 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: keepalive
2023-03-10 14:02:56,509 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: status_report
2023-03-10 14:02:57,960 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: keepalive
2023-03-10 14:03:01,510 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: status_report
2023-03-10 14:03:02,961 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: keepalive
2023-03-10 14:03:06,511 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: status_report
2023-03-10 14:03:07,962 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: keepalive
2023-03-10 14:03:08,506 DEBUG   SenderThread:37188 [sender.py:send():336] send: stats
2023-03-10 14:03:12,507 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: status_report
2023-03-10 14:03:12,964 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: keepalive
2023-03-10 14:03:17,509 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: status_report
2023-03-10 14:03:17,965 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: keepalive
2023-03-10 14:03:22,510 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: status_report
2023-03-10 14:03:22,966 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: keepalive
2023-03-10 14:03:27,511 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: status_report
2023-03-10 14:03:27,967 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: keepalive
2023-03-10 14:03:32,512 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: status_report
2023-03-10 14:03:32,968 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: keepalive
2023-03-10 14:03:34,136 DEBUG   SenderThread:37188 [sender.py:send():336] send: exit
2023-03-10 14:03:34,136 INFO    SenderThread:37188 [sender.py:send_exit():559] handling exit code: 0
2023-03-10 14:03:34,136 INFO    SenderThread:37188 [sender.py:send_exit():561] handling runtime: 325
2023-03-10 14:03:34,136 INFO    SenderThread:37188 [sender.py:_save_file():1332] saving file wandb-summary.json with policy end
2023-03-10 14:03:34,136 INFO    SenderThread:37188 [sender.py:send_exit():567] send defer
2023-03-10 14:03:34,136 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: defer
2023-03-10 14:03:34,136 INFO    HandlerThread:37188 [handler.py:handle_request_defer():170] handle defer: 0
2023-03-10 14:03:34,136 DEBUG   SenderThread:37188 [sender.py:send_request():363] send_request: defer
2023-03-10 14:03:34,136 INFO    SenderThread:37188 [sender.py:send_request_defer():583] handle sender defer: 0
2023-03-10 14:03:34,136 INFO    SenderThread:37188 [sender.py:transition_state():587] send defer: 1
2023-03-10 14:03:34,136 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: defer
2023-03-10 14:03:34,137 INFO    HandlerThread:37188 [handler.py:handle_request_defer():170] handle defer: 1
2023-03-10 14:03:34,137 DEBUG   SenderThread:37188 [sender.py:send_request():363] send_request: defer
2023-03-10 14:03:34,137 INFO    SenderThread:37188 [sender.py:send_request_defer():583] handle sender defer: 1
2023-03-10 14:03:34,137 INFO    SenderThread:37188 [sender.py:transition_state():587] send defer: 2
2023-03-10 14:03:34,137 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: defer
2023-03-10 14:03:34,137 INFO    HandlerThread:37188 [handler.py:handle_request_defer():170] handle defer: 2
2023-03-10 14:03:34,137 INFO    HandlerThread:37188 [system_monitor.py:finish():193] Stopping system monitor
2023-03-10 14:03:34,137 DEBUG   SystemMonitor:37188 [system_monitor.py:_start():168] Finished system metrics aggregation loop
2023-03-10 14:03:34,137 DEBUG   SystemMonitor:37188 [system_monitor.py:_start():172] Publishing last batch of metrics
2023-03-10 14:03:34,138 INFO    HandlerThread:37188 [interfaces.py:finish():199] Joined cpu monitor
2023-03-10 14:03:34,138 INFO    HandlerThread:37188 [interfaces.py:finish():199] Joined disk monitor
2023-03-10 14:03:34,156 INFO    HandlerThread:37188 [interfaces.py:finish():199] Joined gpu monitor
2023-03-10 14:03:34,156 INFO    HandlerThread:37188 [interfaces.py:finish():199] Joined memory monitor
2023-03-10 14:03:34,156 INFO    HandlerThread:37188 [interfaces.py:finish():199] Joined network monitor
2023-03-10 14:03:34,156 DEBUG   SenderThread:37188 [sender.py:send_request():363] send_request: defer
2023-03-10 14:03:34,156 INFO    SenderThread:37188 [sender.py:send_request_defer():583] handle sender defer: 2
2023-03-10 14:03:34,156 INFO    SenderThread:37188 [sender.py:transition_state():587] send defer: 3
2023-03-10 14:03:34,156 DEBUG   SenderThread:37188 [sender.py:send():336] send: stats
2023-03-10 14:03:34,156 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: defer
